Image,Width,Height,Sigma,Tmin,Tmax,Host_Time_ms,Device_Time_ms,Speedup
house.pgm,512,512,1.0,40,100,29.724352,1.433056,20.74
house.pgm,512,512,1.0,40,110,30.810560,1.428832,21.56
house.pgm,512,512,1.0,40,120,31.155775,1.467360,21.23
house.pgm,512,512,1.0,40,130,31.217377,1.461536,21.35
house.pgm,512,512,1.0,50,80,30.717056,1.415296,21.70
house.pgm,512,512,1.0,50,90,37.898399,1.458080,25.99
house.pgm,512,512,1.0,50,100,29.545856,1.415264,20.87
house.pgm,512,512,1.0,50,110,30.998207,1.433472,21.62
house.pgm,512,512,1.0,50,120,31.247583,1.426112,21.91
house.pgm,512,512,1.0,50,130,29.970976,1.428256,20.98
house.pgm,512,512,1.0,60,80,29.663040,1.436768,20.64
house.pgm,512,512,1.0,60,90,31.255968,1.475328,21.18
house.pgm,512,512,1.0,60,100,30.690817,1.444000,21.25
house.pgm,512,512,1.0,60,110,29.732927,1.417504,20.97
house.pgm,512,512,1.0,60,120,29.856768,1.421440,21.00
house.pgm,512,512,1.0,60,130,29.667936,1.440032,20.60
house.pgm,512,512,1.0,70,80,29.900896,1.438560,20.78
house.pgm,512,512,1.0,70,90,29.757313,1.426624,20.85
house.pgm,512,512,1.0,70,100,29.878464,1.426944,20.93
house.pgm,512,512,1.0,70,110,29.814177,1.423872,20.93
house.pgm,512,512,1.0,70,120,33.932064,1.442016,23.53
house.pgm,512,512,1.0,70,130,29.756128,1.441184,20.64
house.pgm,512,512,1.25,20,80,29.584641,1.439680,20.54
house.pgm,512,512,1.25,20,90,30.033344,1.416640,21.20
house.pgm,512,512,1.25,20,100,33.771103,1.450976,23.27
house.pgm,512,512,1.25,20,110,30.746271,1.433728,21.44
house.pgm,512,512,1.25,20,120,29.863808,1.449440,20.60
house.pgm,512,512,1.25,20,130,30.933311,1.426016,21.69
house.pgm,512,512,1.25,30,80,29.774048,1.414592,21.04
house.pgm,512,512,1.25,30,90,29.982656,1.417696,21.14
house.pgm,512,512,1.25,30,100,30.942047,1.432352,21.60
house.pgm,512,512,1.25,30,110,30.837025,1.415968,21.77
house.pgm,512,512,1.25,30,120,30.775776,1.435456,21.43
house.pgm,512,512,1.25,30,130,30.945568,1.465952,21.10
house.pgm,512,512,1.25,40,80,31.160416,1.431232,21.77
house.pgm,512,512,1.25,40,90,30.667007,1.460992,20.99
house.pgm,512,512,1.25,40,100,30.218271,1.459776,20.70
house.pgm,512,512,1.25,40,110,29.727713,1.423680,20.88
house.pgm,512,512,1.25,40,120,31.017311,1.433408,21.63
house.pgm,512,512,1.25,40,130,29.919807,1.418944,21.08
house.pgm,512,512,1.25,50,80,31.109632,1.429184,21.76
house.pgm,512,512,1.25,50,90,30.955008,1.453696,21.29
house.pgm,512,512,1.25,50,100,29.981279,1.427968,20.99
house.pgm,512,512,1.25,50,110,36.946369,1.453888,25.41
house.pgm,512,512,1.25,50,120,29.766527,1.406144,21.16
house.pgm,512,512,1.25,50,130,29.823616,1.431424,20.83
house.pgm,512,512,1.25,60,80,31.009439,1.440064,21.53
house.pgm,512,512,1.25,60,90,29.694016,1.444640,20.55
house.pgm,512,512,1.25,60,100,37.805599,1.452576,26.02
house.pgm,512,512,1.25,60,110,38.045345,1.471328,25.85
house.pgm,512,512,1.25,60,120,31.090240,1.464704,21.22
house.pgm,512,512,1.25,60,130,31.005728,1.401760,22.11
house.pgm,512,512,1.25,70,80,30.664192,1.430880,21.43
house.pgm,512,512,1.25,70,90,30.066401,1.435264,20.94
house.pgm,512,512,1.25,70,100,31.211584,1.465376,21.29
house.pgm,512,512,1.25,70,110,29.749825,1.423968,20.89
house.pgm,512,512,1.25,70,120,29.921345,1.433536,20.87
house.pgm,512,512,1.25,70,130,31.274273,1.442464,21.68
